Rank,Sovereign state/dependency,Total in km2 (mi2),Land in km2 (mi2),Water in km2 (mi2),% water,Notes
5000000000000000000♠0 –,World,"7014510072000000000♠510,072,000
(196,940,000)","7014148940000000000♠148,940,000
(57,510,000)","7014361132000000000♠361,132,000
(139,434,000)",70.8,
7000100000000000000♠1,Russia,"7013170982420000000♠17,098,242
(6,601,668)","7013163777420000000♠16,377,742
(6,323,482)","7011720500000000000♠720,500
(278,200)",4.21,"Largest country in the world (10.995% of the world's landmass); its Asian 
portion makes it the largest country in Asia, and its European portion of 
roughly 3,960,000 km2 (1,530,000 sq mi) makes it the largest country in 
Europe.[Note 2]"
1vend –,Antarctica,"7013140000000000000♠14,000,000
(5,400,000)","7013140000000000000♠14,000,000
(5,400,000)","5000000000000000000♠0
(0)",0,"13,720,000 km2 (5,300,000 sq mi) (98%) of land area is covered by ice. 
Though not itself a country, its territories are claimed by a number of 
countries.[Note 3]"
7000200000000000000♠2,Canada,"7012998467000000000♠9,984,670
(3,855,100)","7012909350700000000♠9,093,507
(3,511,023)","7011891163000000000♠891,163
(344,080)",8.93,"Largest country in the Western Hemisphere, with the largest surface area of 
water. Water figures are land under *freshwater* only, and do not include 
internal waters (non-freshwater) of about 1,600,000 km2, territorial sea of 
200,000 km2 nor the country's contiguous zone.[4][5]"
7000300000000000000♠3,China,"7012957290000000000♠9,572,900
(3,696,100) – 7012959696100000000♠9,596,961
(3,705,407)","7012932641000000000♠9,326,410
(3,600,950)","7011270550000000000♠270,550
(104,460)",1.41,"Second largest country in Asia, after Russia. *Excludes* Taiwan, disputed 
territories with India, and disputed islands in the South China Sea (total 
137,296 km2).[Note 4]"
7000400000000000000♠4,United States,"7012952646800000000♠9,526,468
(3,678,190) – 7012982667500000000♠9,826,675
(3,794,100)","7012916196600000000♠9,161,966
(3,537,455)","7011364502000000000♠364,502
(140,735) – 7011664709000000000♠664,709
(256,646)",3.83 – 6.76,"Second largest country in the Americas, after Canada. Secondary figure 
denotes the inclusion of all coastal water and sea territories into the 
statistical area[Note 4]"
7000500000000000000♠5,Brazil,"7012851576700000000♠8,515,767
(3,287,956)","7012846041500000000♠8,460,415
(3,266,584)","7010553520000000000♠55,352
(21,372)",0.65,"The largest country in South America and in the Southern Hemisphere. 
Largest contiguous territory in the Americas.[11]"
7000600000000000000♠6,Australia,"7012769202400000000♠7,692,024
(2,969,907)","7012763356500000000♠7,633,565
(2,947,336)","7010584590000000000♠58,459
(22,571)",0.76,"The largest country in Oceania, the largest country without land borders, 
and the largest country wholly in the Southern Hemisphere.[Note 5]"
7000700000000000000♠7,India,"7012328726300000000♠3,287,263
(1,269,219)","7012286402100000000♠2,864,021
(1,105,805)","7011302393000000000♠302,393
(116,755)",9.55,Third largest country in Asia.[Note 6]
7000800000000000000♠8,Argentina,"7012278040000000000♠2,780,400
(1,073,500)","7012273669000000000♠2,736,690
(1,056,640)","7010437100000000000♠43,710
(16,880)",1.57,"The largest Spanish-speaking country in the world and second largest 
country in South America.[Note 7]"
