Rank,Country,IntDollar
1,Qatar,"137,162"
2,Luxembourg,"97,639"
3,Singapore,"83,066"
4,Brunei,"79,890"
5,Kuwait,"70,686"
6,Norway,"67,166"
7,United Arab Emirates,"66,347"
8,San Marino,"60,887"
9,Switzerland,"58,149"
--,Falkland Islands,"55,400"
—,Hong Kong,"55,097"
10,United States,"54,370"
11,Saudi Arabia,"52,311"
12,Ireland,"51,284"
13,Bahrain,"49,020"
14,Netherlands,"47,960"
15,Austria,"46,640"
16,Australia,"46,550"
17,Sweden,"46,219"
18,Germany,"46,216"
19,Taiwan,"46,036"
20,Canada,"44,967"
21,Denmark,"44,625"
22,Iceland,"44,029"
23,Oman,"43,847"
24,Belgium,"43,139"
25,Finland,"40,661"
26,France,"40,538"
27,United Kingdom,"39,826"
--,New Caledonia,"38,921"
28,Japan,"37,519"
--,Greenland,"37,400"
29,Equatorial Guinea,"36,785"
30,South Korea,"35,379"
31,New Zealand,"35,305"
32,Italy,"35,131"
--,Puerto Rico,"34,527"
33,Spain,"33,835"
34,Malta,"33,198"
35,Israel,"33,136"
36,Trinidad and Tobago,"32,170"
37,Cyprus,"30,882"
38,Czech Republic,"30,047"
39,Slovenia,"29,867"
40,Slovakia,"28,279"
41,Estonia,"27,880"
42,Lithuania,"27,259"
43,Portugal,"27,069"
44,Greece,"25,954"
45,Seychelles,"25,796"
46,Poland,"25,247"
47,Malaysia,"25,145"
48,The Bahamas,"25,075"
49,Hungary,"25,019"
50,Russia,"24,449"
51,Kazakhstan,"24,108"
52,Latvia,"23,793"
53,Chile,"23,057"
54,Antigua and Barbuda,"22,998"
55,Argentina,"22,302"
56,Saint Kitts and Nevis,"21,474"
57,Uruguay,"21,055"
58,Croatia,"20,947"
59,Gabon,"20,757"
60,Romania,"19,744"
61,Turkey,"19,698"
62,Panama,"19,546"
63,Mauritius,"18,689"
64,Belarus,"18,246"
65,Lebanon,"18,052"
66,Mexico,"17,950"
67,Bulgaria,"17,926"
68,Azerbaijan,"17,761"
69,Venezuela,"17,759"
70,Iran,"17,443"
71,Botswana,"17,050"
72,Barbados,"16,365"
73,Suriname,"16,261"
74,Brazil,"16,155"
75,Libya,"15,877"
76,Thailand,"15,579"
77,Iraq,"15,348"
78,Montenegro,"15,105"
—,World,"14,982"
79,Costa Rica,"14,919"
80,Turkmenistan,"14,217"
81,Palau,"14,122"
82,Dominican Republic,"14,014"
83,Algeria,"13,888"
84,Colombia,"13,480"
85,Macedonia,"13,398"
86,Serbia,"13,378"
87,Maldives,"13,312"
88,China,"13,224"
89,South Africa,"13,094"
90,Grenada,"12,477"
91,Jordan,"11,971"
92,Mongolia,"11,919"
93,Peru,"11,860"
94,Saint Lucia,"11,644"
95,Albania,"11,391"
96,Tunisia,"11,341"
97,Ecuador,"11,303"
98,Dominica,"11,163"
99,Egypt,"10,918"
100,Saint Vincent and the Grenadines,"10,684"
101,Namibia,"10,656"
102,Indonesia,"10,651"
103,Sri Lanka,"10,410"
104,Bosnia and Herzegovina,"9,892"
105,Swaziland,"9,553"
106,Kosovo,"9,281"
107,Georgia,"9,209"
108,Ukraine,"8,681"
109,Jamaica,"8,610"
110,Paraguay,"8,476"
111,Fiji,"8,362"
112,Belize,"8,333"
113,Armenia,"8,164"
114,El Salvador,"8,060"
115,Morocco,"7,813"
116,Bhutan,"7,662"
117,Guatemala,"7,550"
118,Angola,"7,270"
119,Philippines,"6,974"
120,Guyana,"6,921"
121,Republic of the Congo,"6,635"
122,Cape Verde,"6,424"
123,Bolivia,"6,224"
124,Nigeria,"6,054"
125,India,"5,808"
126,Vietnam,"5,656"
127,Uzbekistan,"5,630"
128,East Timor,"5,479"
129,Samoa,"5,199"
130,Laos,"5,006"
131,Moldova,"4,998"
132,Tonga,"4,901"
133,Nicaragua,"4,790"
134,Myanmar,"4,752"
135,Pakistan,"4,749"
136,Honduras,"4,746"
137,Mauritania,"4,314"
138,Sudan,"4,296"
139,Ghana,"4,137"
140,Zambia,"4,087"
141,Yemen,"3,788"
142,Bangladesh,"3,391"
143,Marshall Islands,"3,346"
144,Tuvalu,"3,286"
145,Cambodia,"3,276"
146,Kyrgyzstan,"3,262"
147,São Tomé and Príncipe,"3,165"
148,Ivory Coast,"3,101"
149,Kenya,"3,099"
150,Djibouti,"3,062"
151,Cameroon,"3,007"
152,Micronesia,"2,977"
153,Lesotho,"2,918"
154,Tanzania,"2,742"
155,Tajikistan,"2,698"
156,Chad,"2,627"
157,Vanuatu,"2,603"
158,Papua New Guinea,"2,470"
159,Nepal,"2,388"
160,Senegal,"2,352"
161,South Sudan,"2,064"
162,Zimbabwe,"2,055"
163,Sierra Leone,"2,054"
164,Afghanistan,"1,944"
165,Uganda,"1,939"
166,Solomon Islands,"1,902"
167,Benin,"1,875"
168,Haiti,"1,757"
169,Mali,"1,742"
170,Rwanda,"1,703"
171,Kiribati,"1,690"
172,Burkina Faso,"1,688"
173,Ethiopia,"1,642"
174,Gambia,"1,605"
175,Comoros,"1,533"
176,Guinea Bissau,"1,457"
177,Togo,"1,452"
178,Madagascar,"1,445"
179,Guinea,"1,257"
180,Eritrea,"1,200"
181,Mozambique,"1,178"
182,Malawi,"1,112"
183,Niger,"1,052"
184,Burundi,914
185,Liberia,886
186,Democratic Republic of the Congo,729
187,Central African Republic,609
--,Antarctica,1.12346
