citizen,sex,age,asyl_app,unit,geo\time	2014M12 	2015M01 	2015M02 	2015M03 	2015M04 	2015M05 	2015M06 	2015M07 	2015M08 	2015M09 	2015M10 	2015M11 
TOTAL,T,TOTAL,ASY_APP,PER,AT	4205 	4030 	3255 	2925 	4040 	6395 	7680 	8790 	8795 	10780 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,BE	2210 	1715 	1640 	1755 	1625 	2095 	2895 	3600 	5595 	6830 	6045 	: 
TOTAL,T,TOTAL,ASY_APP,PER,BG	1500 	1070 	1045 	1110 	1130 	1345 	1630 	1870 	1445 	2075 	3545 	: 
TOTAL,T,TOTAL,ASY_APP,PER,CH	1515 	1565 	1425 	1500 	1375 	2205 	3805 	3900 	3900 	4540 	4750 	5690 
TOTAL,T,TOTAL,ASY_APP,PER,CY	140 	165 	140 	165 	165 	135 	150 	165 	125 	350 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,CZ	130 	125 	115 	195 	130 	110 	105 	100 	105 	125 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,DE	20375 	25035 	26085 	32055 	27175 	25990 	35445 	37530 	36420 	43065 	54875 	: 
TOTAL,T,TOTAL,ASY_APP,PER,DK	765 	640 	445 	465 	560 	880 	1090 	1040 	1815 	2690 	3645 	: 
TOTAL,T,TOTAL,ASY_APP,PER,EE	10 	5 	15 	30 	30 	10 	25 	20 	10 	45 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,EL	955 	1065 	1015 	915 	980 	1145 	1120 	1235 	1050 	1155 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,ES	610 	840 	860 	1240 	1345 	1065 	1305 	1170 	1045 	1425 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,EU28	69235 	66140 	71000 	66700 	63195 	71390 	94205 	120140 	144010 	166625 	136890 d	7305 d
TOTAL,T,TOTAL,ASY_APP,PER,FI	405 	305 	325 	355 	340 	515 	770 	1480 	2890 	10815 	7005 	5715 
TOTAL,T,TOTAL,ASY_APP,PER,FR	5835 	4440 	5630 	6090 	5650 	4745 	5600 	5735 	5580 	7370 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,HR	25 	25 	25 	15 	15 	10 	10 	15 	10 	25 	25 	: 
TOTAL,T,TOTAL,ASY_APP,PER,HU	14075 	11925 	16695 	4925 	6690 	9970 	16580 	31285 	47095 	30795 	615 	325 
TOTAL,T,TOTAL,ASY_APP,PER,IE	170 	215 	200 	210 	265 	255 	335 	290 	330 	405 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,IS	35 	15 	15 	10 	15 	5 	20 	20 	45 	60 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,IT	5660 	4785 	5140 	5505 	4590 	5180 	5335 	8610 	8825 	11195 	10440 	: 
TOTAL,T,TOTAL,ASY_APP,PER,LI	10 	5 	0 	10 	5 	15 	20 	10 	10 	35 	20 	: 
TOTAL,T,TOTAL,ASY_APP,PER,LT	75 	30 	30 	15 	25 	25 	10 	35 	35 	25 	35 	: 
TOTAL,T,TOTAL,ASY_APP,PER,LU	85 	90 	95 	105 	80 	95 	105 	115 	190 	380 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,LV	30 	15 	15 	15 	25 	35 	50 	30 	20 	45 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,MT	120 	95 	170 	130 	115 	180 	120 	145 	130 	175 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,NL	1460 	1050 	970 	990 	1275 	2375 	3085 	3160 	5500 	6625 	10160 	: 
TOTAL,T,TOTAL,ASY_APP,PER,NO	780 	605 	530 	535 	580 	1225 	1145 	1400 	2330 	4945 	8665 	8155 
TOTAL,T,TOTAL,ASY_APP,PER,PL	645 	610 	600 	630 	750 	680 	860 	1145 	1375 	1690 	1430 	1270 
TOTAL,T,TOTAL,ASY_APP,PER,PT	40 	40 	80 	60 	80 	80 	90 	70 	75 	70 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,RO	100 	105 	80 	165 	210 	90 	85 	90 	110 	80 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,SE	6955 	4895 	4050 	4120 	3920 	5375 	6625 	8070 	11745 	24265 	39060 	: 
TOTAL,T,TOTAL,ASY_APP,PER,SI	40 	15 	15 	25 	15 	15 	15 	10 	20 	40 	: 	: 
TOTAL,T,TOTAL,ASY_APP,PER,SK	45 	15 	10 	35 	10 	25 	10 	15 	10 	10 	15 	: 
TOTAL,T,TOTAL,ASY_APP,PER,UK	2575 	2785 	2255 	2455 	1960 	2575 	3075 	4325 	3665 	4075 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,AT	4050 	3875 	3065 	2770 	3715 	6195 	7490 	8555 	8500 	10545 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,BE	1410 	1215 	1070 	1170 	1115 	1615 	2325 	3140 	5165 	6360 	5530 	: 
TOTAL,T,TOTAL,NASY_APP,PER,BG	1480 	1055 	1025 	1110 	1120 	1325 	1605 	1850 	1435 	2060 	3530 	: 
TOTAL,T,TOTAL,NASY_APP,PER,CH	1380 	1450 	1310 	1380 	1270 	2080 	3670 	3785 	3790 	4415 	4640 	5565 
TOTAL,T,TOTAL,NASY_APP,PER,CY	120 	155 	125 	150 	145 	120 	135 	155 	120 	335 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,CZ	115 	95 	95 	170 	105 	85 	85 	75 	85 	100 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,DE	17060 	21680 	22775 	28680 	24505 	23760 	32705 	34385 	33445 	40485 	52730 	: 
TOTAL,T,TOTAL,NASY_APP,PER,DK	755 	630 	430 	455 	550 	870 	1075 	1030 	1810 	2680 	3635 	: 
TOTAL,T,TOTAL,NASY_APP,PER,EE	5 	5 	15 	30 	30 	10 	25 	20 	10 	45 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,EL	790 	925 	895 	790 	855 	1005 	1000 	1065 	880 	940 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,ES	600 	835 	850 	1220 	1330 	1060 	1290 	1145 	1030 	1405 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,EU28	62825 	60245 	64905 	60675 	57740 	66770 	88830 	114135 	138465 	161340 	122745 d	6980 d
TOTAL,T,TOTAL,NASY_APP,PER,FI	385 	305 	310 	345 	335 	510 	760 	1455 	2865 	10805 	6985 	5690 
TOTAL,T,TOTAL,NASY_APP,PER,FR	5380 	4025 	5135 	5610 	5175 	4355 	5150 	5330 	5240 	7070 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,HR	15 	10 	15 	15 	10 	5 	5 	10 	5 	20 	20 	: 
TOTAL,T,TOTAL,NASY_APP,PER,HU	13790 	11655 	16405 	4750 	6485 	9800 	16385 	30870 	46720 	30495 	490 	195 
TOTAL,T,TOTAL,NASY_APP,PER,IE	170 	215 	200 	210 	265 	255 	335 	290 	330 	405 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,IT	5610 	4740 	5075 	5430 	4500 	5130 	5265 	8510 	8775 	11105 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,LT	65 	15 	25 	5 	25 	25 	10 	35 	30 	20 	35 	: 
TOTAL,T,TOTAL,NASY_APP,PER,LU	85 	85 	95 	85 	70 	85 	95 	90 	165 	365 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,LV	30 	15 	15 	15 	25 	30 	50 	30 	20 	45 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,MT	115 	65 	160 	120 	105 	160 	115 	145 	115 	170 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,NL	1230 	885 	740 	800 	1085 	2250 	2935 	2990 	5355 	6430 	9990 	: 
TOTAL,T,TOTAL,NASY_APP,PER,NO	735 	570 	485 	485 	520 	1165 	1075 	1335 	2285 	4895 	8575 	8110 
TOTAL,T,TOTAL,NASY_APP,PER,PL	520 	485 	470 	485 	540 	525 	700 	985 	1235 	1490 	1260 	1095 
TOTAL,T,TOTAL,NASY_APP,PER,PT	40 	40 	80 	60 	80 	80 	90 	70 	75 	70 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,RO	95 	100 	75 	160 	205 	85 	85 	85 	110 	75 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,SE	6315 	4345 	3520 	3570 	3405 	4850 	6055 	7525 	11290 	23735 	38540 	: 
TOTAL,T,TOTAL,NASY_APP,PER,SI	35 	15 	10 	20 	15 	10 	15 	10 	20 	40 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,SK	35 	15 	10 	25 	5 	20 	5 	5 	5 	5 	: 	: 
TOTAL,T,TOTAL,NASY_APP,PER,UK	2525 	2750 	2225 	2420 	1935 	2545 	3045 	4280 	3620 	4030 	: 	: 
