citizen,sex,age,unit,geo\time	2014M12 	2015M01 	2015M02 	2015M03 	2015M04 	2015M05 	2015M06 	2015M07 	2015M08 	2015M09 	2015M10 	2015M11 
TOTAL,T,TOTAL,PER,BE	15415 	15315 	14920 	14160 	13835 	14120 	14805 	16910 	21040 	27405 	31055 	: 
TOTAL,T,TOTAL,PER,BG	6750 	6900 	7255 	7585 	7645 	7405 	7840 	8005 	7785 	8065 	10220 	: 
TOTAL,T,TOTAL,PER,CH	19210 	18470 	17645 	16610 	15820 	15905 	17545 	19680 	21890 	24640 	27570 	31175 
TOTAL,T,TOTAL,PER,CY	1775 	1755 	1690 	1635 	2185 	2150 	2075 	1800 	1675 	1915 	: 	: 
TOTAL,T,TOTAL,PER,CZ	535 	505 	535 	605 	565 	550 	535 	545 	555 	575 	: 	: 
TOTAL,T,TOTAL,PER,DE	221195 	231070 	243820 	260515 	274645 	288070 	306010 	324940 	346020 	366190 	: 	: 
TOTAL,T,TOTAL,PER,DK	8245 	7435 	6465 	5445 	4720 	4460 	4565 	4660 	5705 	7140 	9430 	: 
TOTAL,T,TOTAL,PER,EE	100 	110 	115 	130 	140 	125 	130 	130 	125 	150 	135 	115 
TOTAL,T,TOTAL,PER,EL	31930 	31345 	30210 	30135 	30225 	29780 	29160 	28495 	28240 	27325 	: 	: 
TOTAL,T,TOTAL,PER,ES	7525 	8175 	8215 	8830 	9605 	11020 	12060 	11745 	12590 	13580 	: 	: 
TOTAL,T,TOTAL,PER,EU28	489765 d	506030 d	528660 d	529435 d	534055 d	559625 d	592085 d	644060 d	730165 d	808675 d	358335 d	205790 d
TOTAL,T,TOTAL,PER,FI	1795 	1790 	1780 	1845 	1850 	2160 	2600 	3630 	6250 	16510 	22495 	: 
TOTAL,T,TOTAL,PER,FR	36520 	37305 	37860 	37935 	37480 	36960 	36085 	35015 	34080 	34490 	: 	: 
TOTAL,T,TOTAL,PER,HR	120 	130 	125 	110 	95 	100 	95 	55 	70 	60 	65 	: 
TOTAL,T,TOTAL,PER,HU	15685 	14295 	26900 	14180 	5900 	13975 	24430 	49250 	92265 	107420 	77645 	53585 
TOTAL,T,TOTAL,PER,IE	3635 	3820 	3615 	3820 	3995 	3835 	4230 	4255 	4375 	4760 	: 	: 
TOTAL,T,TOTAL,PER,IS	210 	210 	220 	205 	220 	220 	230 	250 	255 	285 	: 	: 
TOTAL,T,TOTAL,PER,IT	45750 	45120 	47045 	47495 	47805 	49410 	48305 	48765 	50305 	50460 	60400 	: 
TOTAL,T,TOTAL,PER,LI	40 	35 	35 	40 	40 	50 	65 	65 	70 	95 	100 	: 
TOTAL,T,TOTAL,PER,LT	175 	175 	115 	95 	100 	80 	90 	110 	130 	125 	95 	100 
TOTAL,T,TOTAL,PER,LU	1370 	1300 	1245 	1225 	1190 	1170 	1175 	1165 	1280 	1575 	: 	: 
TOTAL,T,TOTAL,PER,LV	255 	245 	235 	235 	235 	225 	230 	220 	200 	225 	: 	: 
TOTAL,T,TOTAL,PER,MT	695 	665 	800 	740 	755 	795 	800 	875 	810 	795 	: 	: 
TOTAL,T,TOTAL,PER,NL	: 	7595 	5940 	5100 	4955 	6415 	8095 	9855 	14240 	18555 	25480 	: 
TOTAL,T,TOTAL,PER,NO	4480 	4285 	3990 	3440 	3340 	3840 	4085 	4615 	6225 	10045 	17455 	24755 
TOTAL,T,TOTAL,PER,PL	2685 	2525 	2500 	2395 	2480 	2375 	2470 	2685 	2665 	3030 	3330 	3260 
TOTAL,T,TOTAL,PER,PT	30 	40 	70 	55 	70 	60 	80 	60 	70 	60 	: 	: 
TOTAL,T,TOTAL,PER,RO	390 	410 	395 	465 	535 	505 	435 	435 	460 	405 	: 	: 
TOTAL,T,TOTAL,PER,SE	54325 	56075 	55430 	54470 	53355 	54400 	56005 	59635 	67300 	85760 	117735 	148585 
TOTAL,T,TOTAL,PER,SI	110 	90 	100 	105 	105 	105 	100 	95 	105 	130 	120 	145 
TOTAL,T,TOTAL,PER,SK	220 	205 	185 	180 	175 	185 	160 	150 	150 	165 	140 	: 
TOTAL,T,TOTAL,PER,UK	32540 	31650 	31100 	29945 	29400 	29180 	29520 	30555 	31680 	31800 	: 	: 
